宏福超市 45.00 1.00 3 588 33.00 2016:12:12:12:12 2017:01:01:01:01
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
