QQQQ 12.00 12.00 3 1185 12.00 1212:12:12:12:12 1212:12:12:12:12
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
0.00 0.00 0.00 0 0 0.00 0000:00:00:00:00 0000:00:00:00:00
